,Text Length,Average Word Length,Max Word Length,% Special Characters,Language,Sentiment,Subjectivity,Toxicity,Fluency,Formality,train_test_split
2,94,4.277777777777778,8,0.02127659574468085,en,0.0,0.75,0.009497234597802162,0.3491526246070862,0.20413190126419067,Train
3,102,6.923076923076923,18,0.049019607843137254,en,-0.8,0.9,0.9958029389381409,0.17689162492752075,0.036638617515563965,Train
7,78,4.642857142857143,7,0.01282051282051282,en,0.0,0.0,0.0836322233080864,0.7119593024253845,0.9113317131996155,Train
8,84,7.5,23,0.03571428571428571,en,-0.75,1.0,0.026286659762263298,0.2724373936653137,0.12963050603866577,Train
9,32,4.5,6,0.09375,en,0.0,0.0,0.022244786843657494,0.37056344747543335,0.1112903356552124,Train
10,104,4.526315789473684,12,0.07692307692307693,en,-0.4666666666666666,0.48888888888888893,0.11486726999282837,0.9350174069404602,0.05282169580459595,Train
12,143,4.538461538461538,9,0.02097902097902098,en,-0.07238095238095237,0.67,0.6319422721862793,0.7677240371704102,0.3887555003166199,Train
16,134,4.869565217391305,11,0.05970149253731343,en,0.09999999999999999,0.4666666666666666,0.9000580906867981,0.9580875039100647,0.7441164255142212,Train
17,96,4.105263157894737,8,0.03125,en,0.30000000000000004,0.75,0.004660329315811396,0.9611169695854187,0.6966367959976196,Train
21,137,5.0,15,0.021897810218978103,en,0.16666666666666666,0.7666666666666666,0.000726774160284549,0.7895086407661438,0.8535411357879639,Train
22,140,5.409090909090909,14,0.007142857142857143,en,-0.016666666666666666,0.21666666666666667,0.0009211974684149027,0.5229737162590027,0.21299207210540771,Train
24,35,5.0,8,0.08571428571428572,en,-1.0,1.0,0.11241345852613449,0.4496268630027771,0.08688443899154663,Train
27,105,7.153846153846154,11,0.009523809523809525,en,0.2,0.4,0.006204826291650534,0.12012970447540283,0.4661943316459656,Train
28,95,4.052631578947368,8,0.031578947368421054,en,-0.1875,0.5,0.0006136040319688618,0.9651870727539062,0.975430428981781,Train
30,85,4.0588235294117645,8,0.023529411764705882,en,-0.2,0.8,0.0043866997584700584,0.7229105234146118,0.06979143619537354,Train
31,53,6.571428571428571,12,0.09433962264150944,en,-0.375,0.625,0.2821689248085022,0.9289422631263733,0.7444829940795898,Train
32,94,4.9375,8,0.06382978723404255,en,0.015625,0.675,0.9567540287971497,0.8654803037643433,0.04551041126251221,Train
35,24,5.25,10,0.0,en,0.0,0.0,0.0011170406360179186,0.555123507976532,0.2099858522415161,Train
36,139,4.833333333333333,10,0.04316546762589928,en,0.4,0.25,0.00426226994022727,0.8460612297058105,0.4372369647026062,Train
37,65,5.0,17,0.07692307692307693,en,0.0,0.0,0.5000208616256714,0.6882935762405396,0.008236169815063477,Train
38,77,4.571428571428571,9,0.012987012987012988,en,-0.1833333333333333,0.5916666666666666,0.996269702911377,0.08960610628128052,0.22748339176177979,Train
39,128,4.375,13,0.0234375,en,-0.175,0.825,0.004243998322635889,0.6776381731033325,0.44908952713012695,Train
40,125,3.6666666666666665,9,0.032,en,0.175,0.43124999999999997,0.0020157324615865946,0.33699989318847656,0.2928087115287781,Train
41,62,3.8461538461538463,8,0.0,en,-0.15555555555555559,0.2888888888888889,0.03218197450041771,0.9503564238548279,0.09744197130203247,Train
45,74,4.769230769230769,12,0.013513513513513514,en,-0.16111111111111112,0.85,0.5413509607315063,0.4009842872619629,0.21160423755645752,Train
47,133,5.380952380952381,14,0.015037593984962405,en,-0.05,0.4,0.005376716144382954,0.9671287536621094,0.8759729862213135,Train
49,76,3.8125,9,0.039473684210526314,en,-0.06666666666666665,0.6,0.009501016698777676,0.2992458939552307,0.26683348417282104,Train
52,107,3.6956521739130435,7,0.04672897196261682,en,-0.5,1.0,0.0012077315477654338,0.8005800843238831,0.16309428215026855,Train
53,89,4.294117647058823,9,0.02247191011235955,en,-0.125,0.3666666666666667,0.019706187769770622,0.3458048701286316,0.1601671576499939,Train
54,82,4.1875,9,0.024390243902439025,en,0.85,1.0,0.001562294433824718,0.1098247766494751,0.0623166561126709,Train
57,27,3.6666666666666665,6,0.037037037037037035,en,0.13636363636363635,0.45454545454545453,0.11194183677434921,0.7144842743873596,0.1796247959136963,Train
58,98,5.1875,10,0.05102040816326531,en,0.25,0.875,0.0011308527318760753,0.44969797134399414,0.022050321102142334,Train
60,58,4.9,10,0.017241379310344827,en,0.0,0.0,0.0007379005546681583,0.9687568545341492,0.9952312111854553,Train
61,84,4.666666666666667,10,0.08333333333333333,en,-0.6,0.8,0.9916203022003174,0.905363142490387,0.10481613874435425,Train
62,104,4.833333333333333,11,0.019230769230769232,en,-0.35,0.45,0.9948089122772217,0.3096615672111511,0.13316833972930908,Train
65,41,4.25,8,0.0,en,0.0,0.0,0.035791099071502686,0.9877691864967346,0.9791121482849121,Train
66,122,6.6875,17,0.20491803278688525,en,0.0,0.0,0.02845773845911026,0.8383956551551819,0.061084628105163574,Train
68,105,4.0476190476190474,7,0.047619047619047616,en,0.8,0.75,0.010342448018491268,0.19971609115600586,0.033279478549957275,Train
69,122,4.590909090909091,10,0.01639344262295082,en,-0.1444805194805195,0.49756493506493504,0.9778335094451904,0.8229376673698425,0.38151466846466064,Train
71,43,4.5,9,0.046511627906976744,en,0.0,0.0,0.16619932651519775,0.30059003829956055,0.9826444983482361,Train
73,95,4.333333333333333,8,0.07368421052631578,en,0.1,0.3,0.0013752576196566224,0.7807044982910156,0.3046771287918091,Train
75,104,5.5625,14,0.057692307692307696,en,0.3,0.4,0.7936851978302002,0.9647424221038818,0.13669508695602417,Train
77,134,6.105263157894737,20,0.05970149253731343,en,-1.0,1.0,0.5028921365737915,0.12487143278121948,0.09106504917144775,Train
79,125,3.6666666666666665,7,0.056,en,0.0,0.0,0.0028580676298588514,0.9355423450469971,0.3630416989326477,Train
80,130,7.1875,20,0.046153846153846156,en,0.8,1.0,0.0009994488209486008,0.8268784284591675,0.3138119578361511,Train
81,137,6.666666666666667,24,0.072992700729927,en,0.0,0.0,0.01834898814558983,0.3652021288871765,0.12052005529403687,Train
82,53,4.4,9,0.03773584905660377,en,-0.4147727272727273,0.7272727272727273,0.08538994193077087,0.8250845074653625,0.5610296726226807,Train
83,91,4.411764705882353,11,0.054945054945054944,en,0.125,0.2,0.3196590840816498,0.8167432546615601,0.14280152320861816,Train
84,133,4.583333333333333,11,0.05263157894736842,en,0.06666666666666665,0.48333333333333334,0.000660077144857496,0.5115324258804321,0.1222042441368103,Train
86,114,4.476190476190476,12,0.017543859649122806,en,0.1,1.0,0.0011991257779300213,0.8308833241462708,0.23864293098449707,Train
89,58,4.9,7,0.05172413793103448,en,-0.7,0.8,0.29256296157836914,0.9400284290313721,0.11710542440414429,Train
91,117,4.619047619047619,9,0.02564102564102564,en,0.07777777777777779,0.7111111111111111,0.015018528327345848,0.9542365670204163,0.41253191232681274,Train
93,57,4.2727272727272725,8,0.03508771929824561,en,-0.5,1.0,0.2873952388763428,0.8594339489936829,0.24325335025787354,Train
96,134,5.136363636363637,10,0.029850746268656716,en,0.0,0.0,0.005957289598882198,0.9465177059173584,0.377291738986969,Train
97,129,6.222222222222222,17,0.08527131782945736,en,0.11212121212121212,0.5515151515151515,0.004961736500263214,0.24516266584396362,0.46638625860214233,Train
98,22,4.75,6,0.13636363636363635,da,0.0,0.0,0.0006988667300902307,0.7997651696205139,0.06645703315734863,Train
99,69,4.384615384615385,8,0.043478260869565216,en,0.8,0.7,0.0010604519629850984,0.44546717405319214,0.033143460750579834,Train
100,140,4.875,10,0.014285714285714285,en,-0.14285714285714285,0.7857142857142857,0.0010036061285063624,0.9579799771308899,0.5011122822761536,Train
101,140,5.130434782608695,14,0.02857142857142857,en,-0.1,0.2,0.0010472075082361698,0.9297777414321899,0.9875641465187073,Train
103,128,3.4482758620689653,9,0.0625,en,-0.85,1.0,0.00861581601202488,0.19746136665344238,0.13265544176101685,Train
105,135,4.666666666666667,11,0.037037037037037035,en,-0.5,0.5,0.002552273916080594,0.12402629852294922,0.21222269535064697,Train
106,38,6.8,10,0.05263157894736842,en,0.0,0.0,0.0011751871788874269,0.9583649039268494,0.23903191089630127,Train
108,94,5.333333333333333,11,0.10638297872340426,en,-0.625,0.9,0.9933987855911255,0.8934518694877625,0.007412612438201904,Train
110,111,4.894736842105263,9,0.0,en,0.07575757575757576,0.39015151515151514,0.0013806379865854979,0.9788708686828613,0.6125012040138245,Train
112,85,6.7272727272727275,17,0.10588235294117647,en,0.0,0.0,0.14301562309265137,0.8901665210723877,0.005118012428283691,Train
115,137,4.956521739130435,10,0.043795620437956206,en,0.25,0.8,0.0030510227661579847,0.8069466352462769,0.0997093915939331,Train
116,139,4.185185185185185,11,0.007194244604316547,en,0.4,1.0,0.018207162618637085,0.12405776977539062,0.014618933200836182,Train
118,129,4.909090909090909,10,0.07751937984496124,en,0.012824675324675322,0.3808441558441559,0.0011562202125787735,0.8846437931060791,0.12805378437042236,Train
121,106,4.095238095238095,7,0.02830188679245283,en,0.22000000000000003,0.6766666666666666,0.0015746421413496137,0.46277767419815063,0.23385542631149292,Train
122,107,4.4,9,0.08411214953271028,en,-1.0,1.0,0.009234176948666573,0.19246232509613037,0.052250564098358154,Train
125,56,4.181818181818182,8,0.017857142857142856,en,-0.2,0.8,0.9624689817428589,0.9851688146591187,0.17990636825561523,Train
126,27,4.6,8,0.037037037037037035,en,0.5,1.0,0.014724158681929111,0.23509782552719116,0.12306946516036987,Train
128,36,4.285714285714286,8,0.05555555555555555,en,0.0,0.0,0.007559029385447502,0.7216399312019348,0.082760751247406,Train
130,116,4.086956521739131,9,0.04310344827586207,en,-0.10520833333333333,0.6791666666666667,0.29296883940696716,0.12157684564590454,0.12570905685424805,Train
132,130,4.038461538461538,10,0.07692307692307693,en,-0.3,0.3,0.5605708956718445,0.8457157611846924,0.05909323692321777,Train
133,130,3.8518518518518516,7,0.023076923076923078,en,0.4454545454545455,0.5333333333333333,0.0008239142480306327,0.4198089838027954,0.45854467153549194,Train
137,79,4.714285714285714,9,0.0379746835443038,en,2.7755575615628914e-17,0.8,0.009849056601524353,0.7541735172271729,0.31052690744400024,Train
139,49,4.555555555555555,8,0.061224489795918366,en,-0.16666666666666666,0.43333333333333335,0.05121457576751709,0.7494459748268127,0.08325719833374023,Train
140,113,4.181818181818182,9,0.02654867256637168,en,0.2857142857142857,0.5357142857142857,0.026954391971230507,0.13726097345352173,0.21321451663970947,Train
142,137,4.3076923076923075,8,0.08759124087591241,en,0.0,0.0,0.021322693675756454,0.10716897249221802,0.0395238995552063,Train
143,10,4.5,5,0.1,de,0.0,0.0,0.12220467627048492,0.5847331881523132,0.1836208701133728,Train
146,104,5.5625,8,0.07692307692307693,en,-0.016666666666666673,0.28333333333333327,0.2989290654659271,0.905747652053833,0.23313045501708984,Train
149,97,4.157894736842105,8,0.08247422680412371,en,0.0,0.0,0.0008297027088701725,0.11022341251373291,0.023860156536102295,Train
154,99,4.0,10,0.020202020202020204,en,-0.06606060606060607,0.46424242424242423,0.0210312157869339,0.8339241147041321,0.9656152725219727,Train
156,90,5.066666666666666,10,0.044444444444444446,en,0.5,0.8666666666666667,0.0006812730571255088,0.9516017436981201,0.7406355738639832,Train
157,62,3.5,6,0.08064516129032258,en,0.5,1.0,0.0012607829412445426,0.8931642174720764,0.24651247262954712,Train
161,132,6.388888888888889,9,0.11363636363636363,en,-0.4,0.4,0.005274313967674971,0.7928919196128845,0.24432218074798584,Train
162,111,4.333333333333333,10,0.02702702702702703,en,-0.125,0.875,0.27726468443870544,0.0465053915977478,0.4243013858795166,Train
163,52,3.8181818181818183,7,0.09615384615384616,en,0.0,0.0,0.0012537653092294931,0.9370672106742859,0.24428755044937134,Train
164,75,4.428571428571429,9,0.04,en,-0.5909090909090909,0.8484848484848485,0.19002899527549744,0.8111175894737244,0.1711786389350891,Train
166,115,4.523809523809524,10,0.034782608695652174,en,0.13392857142857142,0.6339285714285714,0.0011257017031311989,0.20945286750793457,0.1394258737564087,Train
