Specialty meat, minimally processed with additions 
Frog, minimally processed without additions
Land snail, minimally processed without additions
Rabbit, minimally processed with additions
Rabbit, minimally processed without additions
Horse, minimally processed with additions
Horse, minimally processed without additions
Duck, minimally processed without additions 
Duck, minimally processed with additions 
Mixed species meat, minimally processed with additions
Mixed species meat, minimally processed without additions
Specialty poultry, minimally processed with additions 
Specialty poultry, minimally processed without additions 
Specialty meat, minimally processed without additions 
Pork, minimally processed without additions 
Goat, minimally processed without additions 
Lamb or mutton, minimally processed with additions 
Lamb or mutton, minimally processed without additions 
Turkey, minimally processed with additions
Turkey, minimally processed without additions
Chicken, minimally processed with additions
Pork, minimally processed with additions
Veal, minimally processed with additions
Veal, minimally processed without additions 
Beef, minimally processed with additions 
Chicken, minimally processed without additions
Beef, minimally processed without additions 
Land snail, minimally processed with additions
Goat, minimally processed with additions
Snake, minimally processed without additions
Frog, minimally processed with additions
Turtle, minimally processed without additions
Quail, minimally processed with additions
Quail, minimally processed without additions
Pheasant, minimally processed with additions
Pheasant, minimally processed without additions
Deer, minimally processed with additions
Deer, minimally processed without additions
Boar, minimally processed with additions
Boar, minimally processed without additions
Ostrich, minimally processed with additions
Snake, minimally processed with additions
Goose, minimally processed with additions
Goose, minimally processed without additions
Llama or alpaca, minimally processed with additions
Llama or alpaca, minimally processed without additions
Bison or buffalo, minimally processed with additions
Bison or buffalo, minimally processed without additions
Turtle, minimally processed with additions
Ostrich, minimally processed without additions
Bison or buffalo, processed with additions
Bison or buffalo, processed without additions
Turtle, processed with additions
Turtle, processed without additions
Land snail, processed with additions
Snake, processed without additions
Llama or alpaca, processed without additions
Land snail, processed without additions
Frog, processed with additions
Snake, processed with additions
Llama or alpaca, processed with additions
Ostrich, processed with additions
Goose, processed with additions
Ostrich, processed without additions
Boar, processed without additions
Boar, processed with additions
Deer, processed without additions
Deer, processed with additions
Frog, processed without additions
Pheasant, processed with additions
Quail, processed without additions
Quail, processed with additions
Goose, processed without additions
Pheasant, processed without additions
Rabbit, processed with additions
Horse, processed with additions
Beef, processed without additions 
Rabbit, processed without additions
Veal, processed without additions 
Veal, processed with additions 
Pork, processed without additions 
Pork, processed with additions
Chicken, processed without additions
Chicken, processed with additions
Turkey, processed without additions
Turkey, processed with additions
Lamb or mutton, processed without additions 
Beef, processed with additions 
Goat, processed without additions 
Lamb or mutton, processed with additions 
Horse, processed without additions
Duck, processed with additions 
Mixed species meat, processed with additions
Mixed species meat, processed without additions
Duck, processed without additions 
Specialty poultry, processed without additions
Specialty meat, processed with additions 
Specialty meat, processed without additions 
Goat, processed with additions 
Specialty poultry, processed with additions
