	TITLE	ID	KEYWORDS_DFG/Primary/GREEN_SUPPLY_CHAIN	KEYWORDS_DFG/Primary/GREEN_RAZOR	KEYWORDS_DFG/Primary/RECYCLING	KEYWORDS_DFG/Primary/REUSING	KEYWORDS_DFG/Secondary/GREEN_SUPPLY_CHAIN	KEYWORDS_DFG/Secondary/GREEN_RAZOR	KEYWORDS_DFG/Secondary/RECYCLING	KEYWORDS_DFG/Secondary/REUSING	financial_tone	sustainability_potential	SENTENCE	COUNT_DFG/Primary/GREEN_SUPPLY_CHAIN	COUNT_DFG/Primary/GREEN_RAZOR	COUNT_DFG/Primary/RECYCLING	COUNT_DFG/Primary/REUSING	COUNT_DFG/Secondary/GREEN_SUPPLY_CHAIN	COUNT_DFG/Secondary/GREEN_RAZOR	COUNT_DFG/Secondary/RECYCLING	COUNT_DFG/Secondary/REUSING
0	Audi 2020	90161576b8c3a648887ef0547e0b860b											As a year, 2020 was defined by uncertainty and radical change.	0	0	0	0	0	0	0	0
1	Audi 2020	90161576b8c3a648887ef0547e0b860b											Our employees' great flexibility and willingness to adapt during these challenging times made a lasting impression on all of us as the Board of Management team.	0	0	0	0	0	0	0	0
2	Audi 2020	90161576b8c3a648887ef0547e0b860b											We are therefore convinced that despite -or perhaps due to -the current challenges, we will still be able to make a substantial difference.	0	0	0	0	0	0	0	0
3	Audi 2020	90161576b8c3a648887ef0547e0b860b											This conviction gives us the energy we need to continue to work strongly on the future of Audi in 2021.	0	0	0	0	0	0	0	0
4																					
5	Audi 2020	3a79b524ef937fd06f44aeae83717d74											1 Audi e-tron GT quattro: combined electric power consumption in kWh/100 km:	0	0	0	0	0	0	0	0
6																					
7	Audi 2020	1aa148d6648abd1f019e3cc86eb9135b											Stand together, but keep your distance -an idea that became last year's watchword.	0	0	0	0	0	0	0	0
8	Audi 2020	1aa148d6648abd1f019e3cc86eb9135b					throughout						The coronavirus pandemic significantly impacted day-to-day business in markets throughout the world, presenting great economic as well as emotional challenges.	0	0	0	0	1	0	0	0
9																					
10	Audi 2020	ddd894ea5cb683eb9678ded6f8740951											Thanks to our strong crisis management team, we have managed to navigate stably through the pandemic thus far.	0	0	0	0	0	0	0	0
11	Audi 2020	ddd894ea5cb683eb9678ded6f8740951											Ensuring the protection of everyone at Audi has always been our top priority.	0	0	0	0	0	0	0	0
12	Audi 2020	ddd894ea5cb683eb9678ded6f8740951											At the same time, we have examined our costs and secured our liquidity -without compromising on product substance or sustainability.	0	0	0	0	0	0	0	0
13																					
14	Audi 2020	6e8fe00c2077966624a8bea23734b8de											"Audi has the potential and is committed to taking a leading role in shaping the transformation of the automotive industry. """	0	0	0	0	0	0	0	0
15	Audi 2020	6e8fe00c2077966624a8bea23734b8de											"Vorsprung"" is in our DNA."	0	0	0	0	0	0	0	0
