2023-11-30 12:54:23,366 INFO    Thread-5 (process_request_thread):2827 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-30 12:54:23,367 INFO    Thread-5 (process_request_thread):2827 [wandb_setup.py:_flush():76] Configure stats pid to 2827
2023-11-30 12:54:23,367 INFO    Thread-5 (process_request_thread):2827 [wandb_setup.py:_flush():76] Loading settings from /Users/ousheshharadhun/.config/wandb/settings
2023-11-30 12:54:23,367 INFO    Thread-5 (process_request_thread):2827 [wandb_setup.py:_flush():76] Loading settings from /Users/ousheshharadhun/Documents/Workspace/Impact_Nexus_AI/Impact_Nexus005/Services/wandb/settings
2023-11-30 12:54:23,367 INFO    Thread-5 (process_request_thread):2827 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-30 12:54:23,367 INFO    Thread-5 (process_request_thread):2827 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-30 12:54:23,367 INFO    Thread-5 (process_request_thread):2827 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Services/manage.py', 'program_abspath': '/Users/ousheshharadhun/Documents/Workspace/Impact_Nexus_AI/Impact_Nexus005/Services/manage.py', 'program': '/Users/ousheshharadhun/Documents/Workspace/Impact_Nexus_AI/Impact_Nexus005/Services/manage.py'}
2023-11-30 12:54:23,367 INFO    Thread-5 (process_request_thread):2827 [wandb_init.py:_log_setup():524] Logging user logs to /Users/ousheshharadhun/Documents/Workspace/Impact_Nexus_AI/Impact_Nexus005/Services/wandb/run-20231130_125423-bcwyy8ud/logs/debug.log
2023-11-30 12:54:23,367 INFO    Thread-5 (process_request_thread):2827 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/ousheshharadhun/Documents/Workspace/Impact_Nexus_AI/Impact_Nexus005/Services/wandb/run-20231130_125423-bcwyy8ud/logs/debug-internal.log
2023-11-30 12:54:23,367 INFO    Thread-5 (process_request_thread):2827 [wandb_init.py:init():564] calling init triggers
2023-11-30 12:54:23,367 INFO    Thread-5 (process_request_thread):2827 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'header': 'Text Property Outliers', 'name': 'Text Property Outliers', 'params': {'n_show_top': 5, 'iqr_percentiles': (25, 75), 'iqr_scale': 2, 'sharp_drop_ratio': 0.9, 'min_samples': 10}, 'summary': 'Find outliers with respect to the given properties.'}
2023-11-30 12:54:23,368 INFO    Thread-5 (process_request_thread):2827 [wandb_init.py:init():614] starting backend
2023-11-30 12:54:23,368 INFO    Thread-5 (process_request_thread):2827 [wandb_init.py:init():618] setting up manager
2023-11-30 12:54:23,370 INFO    Thread-5 (process_request_thread):2827 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-11-30 12:54:23,371 INFO    Thread-5 (process_request_thread):2827 [wandb_init.py:init():624] backend started and connected
2023-11-30 12:54:23,375 INFO    Thread-5 (process_request_thread):2827 [wandb_init.py:init():716] updated telemetry
2023-11-30 12:54:23,409 INFO    Thread-5 (process_request_thread):2827 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-30 12:54:25,314 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_on_init():2254] communicating current version
2023-11-30 12:54:25,662 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_on_init():2263] got version response 
2023-11-30 12:54:25,662 INFO    Thread-5 (process_request_thread):2827 [wandb_init.py:init():800] starting run threads in backend
2023-11-30 12:54:26,733 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_console_start():2233] atexit reg
2023-11-30 12:54:26,733 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-30 12:54:26,735 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-30 12:54:26,735 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-30 12:54:26,736 INFO    Thread-5 (process_request_thread):2827 [wandb_init.py:init():841] run started, returning control to user process
2023-11-30 12:54:30,692 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_finish():1962] finishing run concular/deepchecks/bcwyy8ud
2023-11-30 12:54:30,692 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2023-11-30 12:54:30,692 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_restore():2185] restore
2023-11-30 12:54:30,692 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_restore():2191] restore done
2023-11-30 12:54:48,535 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_footer_history_summary_info():3760] rendering history
2023-11-30 12:54:48,535 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_footer_history_summary_info():3792] rendering summary
2023-11-30 12:54:49,204 INFO    Thread-5 (process_request_thread):2827 [wandb_run.py:_footer_sync_info():3719] logging synced files
