Metallurgical machinery manufacture services	Metallurgical equipment manufacture services
Cement plant machinery manufacture services	Cement plant equipment manufacture services
Textile machinery manufacture services	textile equipment manufacture services
Chemical machinery manufacture services	pharmaceutical machinery manufacture services	chemical equipment manufacture services	pharmaceutical equipment manufacture services
Paper printing machinery manufacture services	Paper printing equipment manufacture services
Food products machinery manufacture services	Food products equipment manufacturing services
Construction machinery manufacture services	Construction equipment manufacturing services
Special industrial plants machinery manufacturing services
Power plant boilers manufacture services
Engine machinery manufacture services	turbine manufacturing services
Mining machinery manufacture services	mining equipment manufacturing services
Agricultural machinery manufacture services	agricultural equipment manufacturing services
Furnaces manufacture services	ovens manufacture services
Lifting	manufacture services	hoisting manufacture services	conveying equipment manufacture services
Office machinery manufacture services	office equipment manufacture services
Pumps manufacture services	compressors manufacture services
Machine tools manufacture services	metal manufacture services	wood working manufacturing services
Domestic appliances manufacture services	machines except electrical manufacture services
Air conditioning equipment manufacture services	ventilating equipment manufacture services	refrigeration equipment manufacture services
Fishing ship building services	boat building services
Motorcycle manufacture services	bicycle manufacture services
Air manufacture services	spacecraft manufacture services
Motor vehicles manufacture services
Locomotive manufacture services
Railroad rolling stock manufacture services
Motor vehicles parts or accessories manufacture services
