Tuberculosis prevention services	Tuberculosis control services
Aids prevention services	Aids control services
Epidemics prevention services	Epidemics control services
Fungal diseases prevention services	Fungal diseases control services
Immunization services
Parasitic disease prevention services	Parasitic disease control services
Disinsectization services
Zoonotic diseases prevention services	Zoonotic diseases control services
Viral diseases prevention services	Viral diseases control services
Sexually transmitted diseases prevention services	Sexually transmitted diseases control services
Bacterial disease prevention services	Bacterial disease control services
Leprosy prevention services	Leprosy control services
Vaccination services
Quarantine services
Tropical diseases prevention services	Tropical diseases control services
Childhood diseases prevention services	Childhood diseases control services
Diarrheal diseases prevention services	Diarrheal diseases control services
Alcoholism prevention services	Alcoholism control services
Drug addiction prevention services	Drug addiction control services
Radiation sickness prevention services	Radiation sickness control services
Nutritional diseases prevention services	Nutritional diseases control services
Neurological disorders prevention services	Neurological disorders control services
Allergies prevention services	Allergies control services
Immunologic prevention services	Immunologic control services
Heart diseases prevention services	Heart diseases control services
Endocrine diseases prevention services	Endocrine diseases control services
Cancer prevention services	leukemia prevention services	cancer control services	leukemia control services
Bone diseases prevention services	Bone diseases control services
Digestive system diseases prevention services	Digestive system diseases control services
Eye disease prevention services	Eye disease control services
Respiratory diseases prevention services	Respiratory diseases control services
Ticks management services	Ticks control services
Tsetse flies management services	Tsetse flies control services
Mosquito management services	Mosquito control services
Bacteria management services	Bacteria control services
