Barium Ba
Radium Ra
Strontium Sr
Beryllium Be
Magnesium Mg
Calcium Ca
Yttrium Y
Ytterbium Yb
Thulium Tm
Terbium Tb
Scandium Sc
Promethium Pm
Praseodymium Pr
Neodymium Nd
Samarium Sm
Lanthanum La
Holmium Ho
Gadolinium Gd
Europium Eu
Erbium Er
Dysprosium Dy
Cerium Ce
Lutetium Lu
Nobelium No
Mercury Hg
Molybdenum Mo
Neptunium Np
Nickel Ni
Niobium Nb
Mendelevium Md
Osmium Os
Tantalum Ta
Platinum Pt
Plutonium Pu
Protactinium Pa
Rhenium Re
Rhodium Rh
Ruthenium Ru
Silver Ag
Manganese Mn
Technetium Te
Palladium Pd
Lead Pb
Einsteinium Es
Iron Fe
Thallium Tl
Actinium Ac
Aluminum Al
Americium Am
Antimony Sb
Berkelium Bk
Cadmium Ca
Californium Cf
Chromium Cr
Cobalt Co
Copper Cu
Curium Cm
Fermium Fm
Gallium Ga
Germanium Ge
Gold Au
Hafnium Hf
Indium In
Iridium Ir
Lawrencium Lr
Thorium Th
Bismuth Bi
Titanium Ti
Tin Sn
Polonium Po
Ununbium Uub
Unununium Uuu
Ununnilium Uum
Seaborgium Sg
Rutherfordium Rf
Hassium Hs
Dubnium Db
Bohrium Bh
Zirconium Zr
Zinc Zn
Vanadium V
Uranium U
Tungsten W
Sodium Na
Potassium K
Rubidium Rb
Cesium Cs
Francium Fm
Lithium Li
Bromine Br
Astatine At
Tellurium Te
Sulfur S
Silicon Si
Selenium Se
Phosphorus P
Boron B
Arsenic As
Fluorine F
Oxygen O
Nitrogen N
Hydrogen H
Chlorine Cl
Iodine I
Carbon C
Neon gas Ne
Helium gas He
Krypton gas Kr
Radon gas Rn
Xenon gas Xe
Argon gas Ar
Hydrogen compound gases
Chlorinated mixed gases
Ammonia
Carbon dioxide gas CO2
Industrial air
Inert gas mixtures
Hydrogen sulfide
Carbon monoxide
Dry ice
Liquid ammonia
Radioisotope sources
Calibration sources
Gamma sources
Heavy water
Beta sources
Alpha sources
Deuterated solvents
Cobalt sources
